session_id,timestamp,image_filename,steering_angle,speed_kmh,brake,autonomous_mode,line_detected,gps_x,gps_y,lidar_obstacle_detected,lidar_obstacle_distance,evasion_phase,obstacle_type
20260612_000237,2026-06-12T07:02:49.180,frame_000024.jpg,-0.0741,36.47,0.4823,0,1,-106.226,14.140,0,,0,
20260612_000237,2026-06-12T07:02:49.686,frame_000025.jpg,0.0000,35.84,0.4823,0,0,-106.930,10.486,0,,0,
20260612_000237,2026-06-12T07:02:50.195,frame_000026.jpg,-0.0796,36.16,0.4823,0,0,-107.522,7.042,0,,0,
20260612_000237,2026-06-12T07:02:50.698,frame_000027.jpg,-0.0741,35.84,0.4823,0,0,-107.935,3.790,0,,0,
20260612_000237,2026-06-12T07:02:51.202,frame_000028.jpg,0.0000,36.47,0.4823,0,0,-108.126,0.406,0,,0,
20260612_000237,2026-06-12T07:02:51.710,frame_000029.jpg,0.0000,35.84,0.4823,0,0,-108.171,-2.986,0,,0,
20260612_000237,2026-06-12T07:02:52.226,frame_000030.jpg,-0.0741,36.16,0.4823,0,1,-108.194,-6.373,0,,0,
20260612_000237,2026-06-12T07:02:52.729,frame_000031.jpg,0.0000,35.22,0.4823,0,1,-108.082,-9.615,0,,0,
20260612_000237,2026-06-12T07:02:53.231,frame_000032.jpg,0.0000,34.27,0.4823,0,1,-107.941,-12.829,1,24.01,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:53.744,frame_000033.jpg,0.0000,33.65,0.4823,0,1,-107.790,-16.235,1,20.60,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:54.252,frame_000034.jpg,0.0000,26.43,0.4823,0,1,-107.636,-19.716,1,17.12,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:54.761,frame_000035.jpg,0.1894,-9.65,0.4823,0,1,-107.533,-22.401,1,14.44,1,VEHICLE
20260612_000237,2026-06-12T07:02:55.263,frame_000036.jpg,0.1894,24.55,0.4823,0,1,-107.618,-24.299,1,12.63,1,VEHICLE
20260612_000237,2026-06-12T07:02:55.775,frame_000037.jpg,0.1894,27.37,0.4823,0,0,-107.939,-26.389,1,17.19,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:56.284,frame_000038.jpg,0.0000,26.74,0.4823,0,0,-108.661,-28.794,1,13.26,1,VEHICLE
20260612_000237,2026-06-12T07:02:56.790,frame_000039.jpg,0.0000,27.69,0.4823,0,0,-109.571,-31.284,1,11.59,1,VEHICLE
20260612_000237,2026-06-12T07:02:57.298,frame_000040.jpg,-0.1071,27.69,0.4823,0,0,-110.348,-33.531,1,9.07,1,VEHICLE
20260612_000237,2026-06-12T07:02:57.802,frame_000041.jpg,0.0000,27.37,0.4823,0,0,-111.036,-36.268,0,,2,
20260612_000237,2026-06-12T07:02:58.307,frame_000042.jpg,-0.1235,28.31,0.4823,0,0,-111.685,-39.382,1,9.35,2,OBSTACLE
20260612_000237,2026-06-12T07:02:58.810,frame_000043.jpg,-0.1235,28.63,0.4823,0,0,-112.010,-42.329,0,,2,
20260612_000237,2026-06-12T07:02:59.312,frame_000044.jpg,-0.1180,28.31,0.4823,0,0,-111.989,-45.143,1,18.23,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:02:59.824,frame_000045.jpg,-0.0851,28.31,0.4823,0,0,-111.678,-47.860,0,,2,
20260612_000237,2026-06-12T07:03:00.333,frame_000046.jpg,0.0000,28.31,0.4823,0,0,-111.167,-50.473,0,,2,
20260612_000237,2026-06-12T07:03:00.847,frame_000047.jpg,0.0000,28.31,0.4823,0,0,-110.518,-53.154,0,,2,
20260612_000237,2026-06-12T07:03:01.351,frame_000048.jpg,0.0000,28.31,0.4823,0,0,-109.900,-55.676,0,,2,
20260612_000237,2026-06-12T07:03:01.859,frame_000049.jpg,0.0000,28.31,0.4823,0,1,-109.267,-58.259,0,,2,
20260612_000237,2026-06-12T07:03:02.362,frame_000050.jpg,0.0000,28.31,0.4823,0,1,-108.579,-61.067,0,,2,
20260612_000237,2026-06-12T07:03:02.868,frame_000051.jpg,0.0000,28.31,0.4823,0,1,-107.873,-63.947,0,,2,
20260612_000237,2026-06-12T07:03:03.374,frame_000052.jpg,0.0000,28.00,0.4823,0,1,-107.193,-66.721,0,,0,
20260612_000237,2026-06-12T07:03:03.877,frame_000053.jpg,0.0000,28.00,0.4823,0,1,-106.565,-69.286,0,,0,
20260612_000237,2026-06-12T07:03:04.392,frame_000054.jpg,0.0000,28.00,0.4823,0,1,-105.937,-71.847,0,,0,
20260612_000237,2026-06-12T07:03:04.896,frame_000055.jpg,0.0000,28.00,0.4823,0,1,-105.305,-74.428,0,,0,
20260612_000237,2026-06-12T07:03:05.407,frame_000056.jpg,-0.1016,28.00,0.4823,0,1,-104.613,-77.221,0,,0,
20260612_000237,2026-06-12T07:03:05.911,frame_000057.jpg,-0.1016,28.00,0.4823,0,1,-103.831,-79.739,0,,0,
20260612_000237,2026-06-12T07:03:06.423,frame_000058.jpg,0.0000,28.00,0.4823,0,1,-102.858,-82.190,0,,0,
20260612_000237,2026-06-12T07:03:06.932,frame_000059.jpg,-0.0851,28.63,0.4823,0,0,-101.818,-84.688,0,,0,
20260612_000237,2026-06-12T07:03:07.432,frame_000060.jpg,-0.1400,28.63,0.4823,0,0,-100.658,-87.096,0,,0,
20260612_000237,2026-06-12T07:03:07.942,frame_000061.jpg,-0.0796,28.63,0.4823,0,1,-99.183,-89.411,0,,0,
20260612_000237,2026-06-12T07:03:08.447,frame_000062.jpg,-0.0796,28.94,0.4823,0,1,-97.437,-91.640,0,,0,
20260612_000237,2026-06-12T07:03:08.959,frame_000063.jpg,0.0000,28.94,0.4823,0,1,-95.504,-93.768,0,,0,
20260612_000237,2026-06-12T07:03:09.464,frame_000064.jpg,-0.0961,30.20,0.4823,0,1,-93.464,-95.860,0,,0,
20260612_000237,2026-06-12T07:03:09.976,frame_000065.jpg,-0.1016,30.51,0.4823,0,1,-91.086,-97.990,1,16.68,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:10.485,frame_000066.jpg,-0.0741,30.51,0.4823,0,0,-88.493,-99.865,0,,0,
20260612_000237,2026-06-12T07:03:10.991,frame_000067.jpg,0.0000,30.51,0.4823,0,1,-86.107,-101.325,0,,0,
20260612_000237,2026-06-12T07:03:11.495,frame_000068.jpg,0.0000,30.82,0.4823,0,1,-83.715,-102.635,0,,0,
20260612_000237,2026-06-12T07:03:11.998,frame_000069.jpg,-0.0906,30.82,0.4823,0,0,-81.374,-103.859,1,15.68,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:12.511,frame_000070.jpg,-0.0906,30.82,0.4823,0,0,-78.720,-105.007,0,,0,
20260612_000237,2026-06-12T07:03:13.011,frame_000071.jpg,-0.0796,30.82,0.4823,0,1,-76.060,-105.905,0,,0,
20260612_000237,2026-06-12T07:03:13.513,frame_000072.jpg,0.0000,30.82,0.4823,0,0,-72.921,-106.703,0,,0,
20260612_000237,2026-06-12T07:03:14.025,frame_000073.jpg,-0.1126,29.88,0.4823,0,0,-69.925,-107.371,1,17.48,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:14.533,frame_000074.jpg,-0.1071,30.82,0.4823,0,0,-67.068,-107.754,0,,0,
20260612_000237,2026-06-12T07:03:15.044,frame_000075.jpg,0.0000,37.41,0.4823,0,1,-64.056,-107.861,0,,0,
20260612_000237,2026-06-12T07:03:15.558,frame_000076.jpg,0.0000,36.47,0.4823,0,1,-60.595,-107.885,0,,0,
20260612_000237,2026-06-12T07:03:16.067,frame_000077.jpg,0.0000,36.47,0.4823,0,1,-57.357,-107.905,0,,0,
20260612_000237,2026-06-12T07:03:16.568,frame_000078.jpg,0.0000,36.78,0.4823,0,1,-54.211,-107.922,0,,0,
20260612_000237,2026-06-12T07:03:17.086,frame_000079.jpg,0.0000,36.78,0.4823,0,1,-51.043,-107.941,0,,0,
20260612_000237,2026-06-12T07:03:17.595,frame_000080.jpg,-0.0741,37.10,0.4823,0,1,-47.370,-107.961,1,21.67,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:18.096,frame_000081.jpg,0.0000,-9.65,0.4823,0,1,-43.783,-107.844,1,18.10,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:18.605,frame_000082.jpg,0.1839,-9.65,0.4823,0,1,-40.534,-107.658,1,14.85,1,VEHICLE
20260612_000237,2026-06-12T07:03:19.107,frame_000083.jpg,0.1839,-9.65,0.4823,0,0,-38.263,-107.776,1,12.74,1,VEHICLE
20260612_000237,2026-06-12T07:03:19.619,frame_000084.jpg,0.1510,19.84,0.4823,0,0,-36.369,-108.083,1,15.35,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:20.120,frame_000085.jpg,0.0796,31.14,0.4823,0,0,-34.466,-108.576,1,15.30,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:20.627,frame_000086.jpg,0.0000,38.67,0.4823,0,0,-31.964,-109.380,1,12.74,1,VEHICLE
20260612_000237,2026-06-12T07:03:21.136,frame_000087.jpg,0.0000,38.98,0.4823,0,0,-29.319,-110.229,1,20.67,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:21.649,frame_000088.jpg,-0.1345,39.92,0.4823,0,0,-26.181,-111.202,1,17.36,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:22.152,frame_000089.jpg,-0.1455,39.92,0.4823,0,0,-22.478,-111.974,1,9.80,1,VEHICLE
20260612_000237,2026-06-12T07:03:22.666,frame_000090.jpg,-0.0906,39.92,0.4823,0,0,-18.208,-112.068,0,,2,
20260612_000237,2026-06-12T07:03:23.176,frame_000091.jpg,0.0000,39.61,0.4823,0,0,-14.389,-111.614,0,,2,
20260612_000237,2026-06-12T07:03:23.688,frame_000092.jpg,0.0000,40.23,0.4823,0,0,-10.917,-110.962,0,,2,
20260612_000237,2026-06-12T07:03:24.197,frame_000093.jpg,0.0000,40.55,0.4823,0,0,-7.187,-110.244,0,,2,
20260612_000237,2026-06-12T07:03:24.715,frame_000094.jpg,0.0000,41.49,0.4823,0,1,-3.103,-109.454,0,,2,
20260612_000237,2026-06-12T07:03:25.224,frame_000095.jpg,0.0000,42.12,0.4823,0,1,0.780,-108.699,0,,2,
20260612_000237,2026-06-12T07:03:25.731,frame_000096.jpg,0.0000,42.43,0.4823,0,1,4.672,-107.940,0,,2,
20260612_000237,2026-06-12T07:03:26.236,frame_000097.jpg,0.0000,43.06,0.4823,0,1,8.530,-107.185,0,,2,
20260612_000237,2026-06-12T07:03:26.745,frame_000098.jpg,-0.1016,43.37,0.4823,0,0,12.524,-106.401,0,,2,
20260612_000237,2026-06-12T07:03:27.247,frame_000099.jpg,0.0000,43.37,0.4823,0,0,16.464,-105.400,1,17.86,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:27.763,frame_000100.jpg,-0.0906,44.00,0.4823,0,0,20.433,-103.940,1,17.51,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:28.266,frame_000101.jpg,0.0000,44.00,0.4823,0,1,23.827,-102.341,1,18.07,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:28.766,frame_000102.jpg,-0.1126,44.00,0.4823,0,1,27.196,-100.356,0,,0,
20260612_000237,2026-06-12T07:03:29.274,frame_000103.jpg,0.0000,44.31,0.4823,0,1,30.618,-98.033,1,17.19,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:29.779,frame_000104.jpg,-0.1016,44.63,0.4823,0,1,33.568,-95.594,1,16.49,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:30.286,frame_000105.jpg,-0.1126,44.94,0.4823,0,1,36.458,-92.723,0,,0,
20260612_000237,2026-06-12T07:03:30.794,frame_000106.jpg,0.0000,44.63,0.4823,0,1,39.062,-89.563,1,17.05,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:31.308,frame_000107.jpg,-0.1180,44.94,0.4823,0,1,41.135,-86.452,1,16.68,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:31.815,frame_000108.jpg,-0.0851,44.94,0.4823,0,1,42.873,-83.168,1,17.53,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:32.317,frame_000109.jpg,0.0000,44.94,0.4823,0,1,44.246,-79.700,0,,0,
20260612_000237,2026-06-12T07:03:32.837,frame_000110.jpg,-0.1180,45.25,0.4823,0,1,45.479,-76.015,1,18.94,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:33.339,frame_000111.jpg,0.0000,45.57,0.4823,0,1,46.331,-72.619,0,,0,
20260612_000237,2026-06-12T07:03:33.846,frame_000112.jpg,-0.0796,45.57,0.4823,0,0,47.140,-68.644,0,,0,
20260612_000237,2026-06-12T07:03:34.361,frame_000113.jpg,0.0000,45.57,0.4823,0,0,47.845,-64.026,0,,0,
20260612_000237,2026-06-12T07:03:34.864,frame_000114.jpg,0.0000,45.57,0.4823,0,0,48.285,-59.627,0,,0,
20260612_000237,2026-06-12T07:03:35.372,frame_000115.jpg,0.0000,45.57,0.4823,0,0,48.502,-55.459,0,,0,
20260612_000237,2026-06-12T07:03:35.879,frame_000116.jpg,0.0000,45.57,0.4823,0,0,48.530,-51.408,0,,0,
20260612_000237,2026-06-12T07:03:36.382,frame_000117.jpg,0.0000,45.88,0.4823,0,0,48.528,-47.231,0,,0,
20260612_000237,2026-06-12T07:03:36.889,frame_000118.jpg,0.0000,45.57,0.4823,0,0,48.520,-42.928,0,,0,
20260612_000237,2026-06-12T07:03:37.404,frame_000119.jpg,0.0000,46.20,0.4823,0,1,48.509,-38.896,0,,0,
20260612_000237,2026-06-12T07:03:37.920,frame_000120.jpg,0.0000,45.25,0.4823,0,0,48.496,-34.981,0,,0,
20260612_000237,2026-06-12T07:03:38.432,frame_000121.jpg,0.0000,45.57,0.4823,0,0,48.482,-31.498,0,,0,
20260612_000237,2026-06-12T07:03:38.935,frame_000122.jpg,0.0000,45.25,0.4823,0,0,48.463,-27.065,0,,0,
20260612_000237,2026-06-12T07:03:39.448,frame_000123.jpg,0.0000,45.57,0.4823,0,0,48.437,-22.273,0,,0,
20260612_000237,2026-06-12T07:03:39.956,frame_000124.jpg,0.0000,45.25,0.4823,0,1,48.305,-17.614,0,,0,
20260612_000237,2026-06-12T07:03:40.462,frame_000125.jpg,0.0000,45.57,0.4823,0,1,47.960,-13.451,0,,0,
20260612_000237,2026-06-12T07:03:40.963,frame_000126.jpg,0.0000,45.57,0.4823,0,1,47.600,-9.293,0,,0,
20260612_000237,2026-06-12T07:03:41.476,frame_000127.jpg,0.0000,45.57,0.4823,0,1,47.193,-4.630,0,,0,
20260612_000237,2026-06-12T07:03:41.987,frame_000128.jpg,0.0000,45.57,0.4823,0,1,46.815,-0.346,0,,0,
20260612_000237,2026-06-12T07:03:42.497,frame_000129.jpg,0.0000,45.57,0.4823,0,1,46.467,3.574,0,,0,
20260612_000237,2026-06-12T07:03:43.007,frame_000130.jpg,0.0000,46.20,0.4823,0,1,46.117,7.500,0,,0,
20260612_000237,2026-06-12T07:03:43.517,frame_000131.jpg,0.0000,46.82,0.4823,0,1,45.747,11.622,0,,0,
20260612_000237,2026-06-12T07:03:44.036,frame_000132.jpg,-0.1510,46.82,0.4823,0,0,45.318,16.014,1,14.35,0,OBSTACLE
20260612_000237,2026-06-12T07:03:44.543,frame_000133.jpg,-0.1620,46.82,0.4823,0,1,44.200,20.605,1,16.07,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:45.044,frame_000134.jpg,-0.1016,47.14,0.4823,0,1,42.182,24.818,0,,0,
20260612_000237,2026-06-12T07:03:45.554,frame_000135.jpg,-0.1016,47.45,0.4823,0,1,39.931,28.627,1,17.00,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:46.057,frame_000136.jpg,0.0000,47.45,0.4823,0,1,37.194,31.971,0,,0,
20260612_000237,2026-06-12T07:03:46.558,frame_000137.jpg,-0.1016,47.45,0.4823,0,1,34.010,35.323,1,16.48,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:47.064,frame_000138.jpg,-0.0741,47.76,0.4823,0,1,30.769,38.193,1,16.96,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:47.570,frame_000139.jpg,0.0000,48.08,0.4823,0,1,27.398,40.539,0,,0,
20260612_000237,2026-06-12T07:03:48.078,frame_000140.jpg,-0.0851,48.08,0.4823,0,0,23.974,42.623,0,,0,
20260612_000237,2026-06-12T07:03:48.585,frame_000141.jpg,-0.0796,48.08,0.4823,0,0,20.466,44.523,1,14.92,0,OBSTACLE
20260612_000237,2026-06-12T07:03:49.095,frame_000142.jpg,-0.0796,48.08,0.4823,0,0,15.889,46.276,1,16.13,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:49.599,frame_000143.jpg,-0.0741,48.39,0.4823,0,0,10.941,47.356,1,18.71,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:50.105,frame_000144.jpg,0.0000,47.14,0.4823,0,1,6.309,47.808,0,,0,
20260612_000237,2026-06-12T07:03:50.606,frame_000145.jpg,0.0000,48.39,0.4823,0,0,2.072,48.000,0,,0,
20260612_000237,2026-06-12T07:03:51.109,frame_000146.jpg,0.0000,48.71,0.4823,0,0,-2.384,48.181,0,,0,
20260612_000237,2026-06-12T07:03:51.612,frame_000147.jpg,0.0000,59.06,0.4823,0,1,-6.933,48.210,0,,0,
20260612_000237,2026-06-12T07:03:52.117,frame_000148.jpg,0.0000,59.06,0.4823,0,1,-12.036,48.194,0,,0,
20260612_000237,2026-06-12T07:03:52.633,frame_000149.jpg,0.0000,59.06,0.4823,0,1,-17.224,48.168,0,,0,
20260612_000237,2026-06-12T07:03:53.149,frame_000150.jpg,0.0000,59.06,0.4823,0,1,-22.319,48.136,0,,0,
20260612_000237,2026-06-12T07:03:53.651,frame_000151.jpg,0.0000,58.74,0.4823,0,0,-27.552,48.096,0,,0,
20260612_000237,2026-06-12T07:03:54.153,frame_000152.jpg,0.0000,58.74,0.4823,0,0,-33.429,48.043,0,,0,
20260612_000237,2026-06-12T07:03:54.656,frame_000153.jpg,0.0000,58.43,0.4823,0,0,-39.144,47.984,0,,0,
20260612_000237,2026-06-12T07:03:55.169,frame_000154.jpg,0.0000,54.98,0.4823,0,1,-44.688,47.917,0,,0,
20260612_000237,2026-06-12T07:03:55.683,frame_000155.jpg,0.0000,54.98,0.4823,0,0,-49.826,47.847,0,,0,
20260612_000237,2026-06-12T07:03:56.186,frame_000156.jpg,0.0000,54.98,0.4823,0,1,-55.020,47.771,0,,0,
20260612_000237,2026-06-12T07:03:56.698,frame_000157.jpg,0.0000,55.29,0.4823,0,1,-60.393,47.684,1,18.78,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:57.207,frame_000158.jpg,0.0000,55.29,0.4823,0,0,-66.067,47.588,1,15.88,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:57.714,frame_000159.jpg,-0.2169,55.29,0.4823,0,0,-71.249,47.346,1,15.52,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:58.226,frame_000160.jpg,0.0000,55.29,0.4823,0,1,-76.518,45.909,0,,0,
20260612_000237,2026-06-12T07:03:58.728,frame_000161.jpg,-0.0906,55.29,0.4823,0,1,-81.317,43.904,1,18.57,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:03:59.231,frame_000162.jpg,-0.0851,55.29,0.4823,0,1,-85.834,41.299,0,,0,
20260612_000237,2026-06-12T07:03:59.737,frame_000163.jpg,-0.0796,55.29,0.4823,0,1,-89.637,38.744,1,17.93,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:00.241,frame_000164.jpg,0.0000,55.29,0.4823,0,1,-93.158,35.581,1,18.91,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:00.752,frame_000165.jpg,-0.1126,55.29,0.4823,0,1,-96.787,31.429,1,18.79,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:01.257,frame_000166.jpg,0.0000,55.29,0.4823,0,1,-99.554,27.215,0,,0,
20260612_000237,2026-06-12T07:04:01.765,frame_000167.jpg,-0.1455,55.29,0.4823,0,1,-102.400,22.139,1,17.77,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:02.271,frame_000168.jpg,0.0000,55.29,0.4823,0,1,-104.351,16.833,0,,0,
20260612_000237,2026-06-12T07:04:02.773,frame_000169.jpg,-0.0851,55.29,0.4823,0,1,-105.795,11.962,1,18.23,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:03.280,frame_000170.jpg,0.0000,55.29,0.4823,0,1,-106.700,6.846,1,22.63,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:03.783,frame_000171.jpg,-0.0741,55.29,0.4823,0,1,-107.124,1.629,0,,0,
20260612_000237,2026-06-12T07:04:04.294,frame_000172.jpg,0.0000,53.10,0.4823,0,1,-107.331,-3.553,0,,0,
20260612_000237,2026-06-12T07:04:04.798,frame_000173.jpg,0.0000,35.84,0.4823,0,1,-107.192,-8.301,0,,0,
20260612_000237,2026-06-12T07:04:05.302,frame_000174.jpg,0.0000,41.49,0.4823,0,1,-107.011,-12.735,1,24.05,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:05.806,frame_000175.jpg,0.1839,41.80,0.4823,0,1,-106.825,-16.988,1,19.79,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:06.316,frame_000176.jpg,0.1180,42.12,0.4823,0,0,-107.175,-20.901,1,16.10,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:06.826,frame_000177.jpg,0.0000,54.04,0.4823,0,0,-108.248,-24.892,1,12.17,1,VEHICLE
20260612_000237,2026-06-12T07:04:07.334,frame_000178.jpg,0.0000,54.98,0.4823,0,0,-109.600,-29.134,1,12.60,1,VEHICLE
20260612_000237,2026-06-12T07:04:07.845,frame_000179.jpg,0.0000,53.41,0.4823,0,0,-111.044,-34.095,1,9.97,1,VEHICLE
20260612_000237,2026-06-12T07:04:08.351,frame_000180.jpg,-0.0906,54.04,0.4823,0,0,-111.760,-39.221,0,,2,
20260612_000237,2026-06-12T07:04:08.853,frame_000181.jpg,-0.1290,54.04,0.4823,0,0,-112.056,-44.259,1,17.75,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:09.356,frame_000182.jpg,0.0000,49.02,0.4823,0,0,-111.277,-49.230,0,,2,
20260612_000237,2026-06-12T07:04:09.863,frame_000183.jpg,0.0000,49.96,0.4823,0,0,-110.305,-53.489,0,,2,
20260612_000237,2026-06-12T07:04:10.365,frame_000184.jpg,0.0000,50.59,0.4823,0,1,-109.127,-58.510,0,,2,
20260612_000237,2026-06-12T07:04:10.876,frame_000185.jpg,0.0000,50.59,0.4823,0,1,-107.868,-63.849,0,,2,
20260612_000237,2026-06-12T07:04:11.376,frame_000186.jpg,0.0000,51.84,0.4823,0,1,-106.657,-68.971,0,,2,
20260612_000237,2026-06-12T07:04:11.882,frame_000187.jpg,0.0000,51.84,0.4823,0,1,-105.416,-73.702,1,20.32,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:12.385,frame_000188.jpg,-0.1620,52.47,0.4823,0,1,-103.899,-78.373,1,18.37,2,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:12.892,frame_000189.jpg,0.0000,52.47,0.4823,0,1,-101.673,-83.063,0,,2,
20260612_000237,2026-06-12T07:04:13.398,frame_000190.jpg,-0.1345,52.78,0.4823,0,1,-99.271,-87.216,1,18.72,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:13.898,frame_000191.jpg,0.0000,52.78,0.4823,0,1,-96.487,-90.759,0,,0,
20260612_000237,2026-06-12T07:04:14.409,frame_000192.jpg,-0.1729,53.10,0.4823,0,1,-93.471,-94.158,1,18.24,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:14.914,frame_000193.jpg,0.0000,53.10,0.4823,0,1,-89.787,-97.304,0,,0,
20260612_000237,2026-06-12T07:04:15.425,frame_000194.jpg,-0.1016,54.04,0.4823,0,1,-85.378,-100.513,1,18.90,0,OBJECT_AHEAD
20260612_000237,2026-06-12T07:04:15.928,frame_000195.jpg,0.0000,53.72,0.4823,0,1,-80.216,-102.861,0,,0,
20260612_000237,2026-06-12T07:04:16.441,frame_000196.jpg,-0.1675,54.04,0.4823,0,0,-75.247,-104.945,1,16.39,0,OBJECT_AHEAD
